Date,Citywide,Administration for Child Services,Department of Social Services,Board of Correction,Board of Elections,Business Integrity Commission,Civilian Complaint Review Board,Department for the Aging,Department of Buildings,Department of Citywide Administrative Services,Department of Consumer Affairs,Department of Correction,Department of Design and Construction,Department of Education,Department of Emergency Management,Department of Environmental Protection,Department of Finance,Department of Health and Mental Hygiene,Department of Homeless Services,Department of Information Technology and Telecommunications,Department of Parks and Recreation,Department of Probation,Department of Sanitation,Department of Small Business Services,Department of Transportation,Department of Veterans’ Services,Department of Youth and Community Development,District Attorney—Kings County,District Attorney—New York,District Attorney—Queens County,District Attorney—Richmond County,Equal Employment Practices Commission,Financial Information Services Agency,Fire Department,Housing Preservation and Development,Mayoralty,Miscellaneous,NYC Taxi and Limousine Commission,Office of Administrative Tax Appeals,Office of Administrative Trials and Hearings,Office of Special Narcotics,Office of the Actuary,Office of the Comptroller,Police Department,District Attorney Bronx County,Independent Budget Office,Law Department
2020 Mar 24 12:00:00 AM,"$2,235,340 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$73,788 ",$0 ,"$62,500 ","$1,092,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,004,076 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,976 ",$0 ,$0 ,$0 
2020 Mar 25 12:00:00 AM,"$1,785,572 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$993,800 ",$0 ,$0 ,$0 ,"$76,758 ","$19,975 ","$11,510 ",$0 ,"$2,085 ",$0 ,$0 ,"$55,197 ",$0 ,"$37,484 ",$0 ,$0 ,$0 ,$0 ,"$72,196 ","$516,567 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Mar 26 12:00:00 AM,"$857,391 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$53,142 ","$1,000 ","$9,334 ",$0 ,$0 ,$0 ,"$584,615 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$199,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,800 ",$0 ,$0 ,$0 
2020 Mar 27 12:00:00 AM,"$13,391,287 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$95,229 ","$12,865,890 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$96,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$277,368 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$56,800 ",$0 ,$0 ,$0 
2020 Mar 28 12:00:00 AM,"$12,493 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,493 ","$3,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Mar 30 12:00:00 AM,"$3,793,465 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,858,379 ",$0 ,"$82,500 ",$0 ,"$431,920 ","$105,575 ","$21,403 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$96,628 ",$0 ,"$6,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$190,160 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Mar 31 12:00:00 AM,"$12,416,852 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$92,853 ",$0 ,"$12,056,750 ",$0 ,$0 ,$0 ,"$198,475 ","$3,075 ","$19,900 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$25,799 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 01 12:00:00 AM,"$390,062 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$45,127 ",$0 ,"$112,831 ",$0 ,"$70,775 ","$6,863 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,095 ",$0 ,$0 ,$0 ,"$2,429 ",$0 ,$0 ,$0 ,$0 ,"$140,800 ",$0 ,"$1,142 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 02 12:00:00 AM,"$358,204 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$34,161 ",$0 ,"$8,742 ",$0 ,$0 ,$0 ,"$168,525 ",$67 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,491 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$137,218 ",$0 ,$0 ,$0 ,$0 
2020 Apr 03 12:00:00 AM,"$14,783,882 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,979,000 ",$0 ,$0 ,"$78,668 ","$44,540 ","$64,252 ","$7,927 ",$0 ,"$1,647 ",$0 ,$0 ,"$13,804 ",$0 ,"$49,421 ",$0 ,"$3,542 ",$0 ,$0 ,"$1,400 ","$3,176 ",$0 ,$0 ,$0 ,$0 ,"$11,230,718 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$24,923 ",$0 ,"$280,864 ",$0 ,$0 ,$0 
